codigo,descripcion
AC11,Asignacion y control de los recursos para gastos de los trabajadores
AC21,Apoyo institucional a las acciones especificas de los proyectos del organismo
AC22,Apoyo institucional al sector privado y al sector externo
AC23,Apoyo institucional al sector publico
AC31,Asignacion y control de los recursos para gastos de los pensionados y jubilados
PR1,Dispensacion de Formulas Magistrales Dermatologicas de la Facultad de Farmacia de la Universidad Central de Venezuela Innovacion tecnologica y cientifica al alcance de todos
PR11,Desarrollar Formulas dermatologicos y dermocosmeticos estables seguros y eficaces con materias primas nacionales
PR12,Investigar y seleccionar ingredientes naturales autoctonos con propiedades dermatoactivas beneficiosas para solucionar afecciones de la piel.
PR13,Identificar e implementar las mejores tecnicas de elaboracion de formulaciones magistrales topicas.
PR14,Capacitar al personal involucrado en la elaboracion y dispensacion de formulaciones dermatologicas para asegurar el cumplimiento de los estandares de calidad y  seguridad.
PR2,Desarrollo de un coagulante en el tratamiento de aguas residuales a partir de cascaras de frutas en la facultad de ingenieria Universidad Central de Venezuela
PR21,Elaboracion del coagulante a partir de cascaras de fruta recolectar acondicionar la materia prima cascaras de frutas ensayos de coagulacion y caracterización del coagulante
PR22,Estudios tecno economico realizar la viabilidad tecnica y economica del prototipo para producirlo a escala mayor
PR23,Formacion a la comunidad para el uso de coagulantes naturales en el tratamiento de aguas residuales informar de la importancia de la sostenibilidad y sustentabilidad en el desarrollo de la propuesta
PR3,Reactivacion de viveros y espacios para la reproduccion y comercializacion de plantas de abono organico del Instituto Experimental Jardin Botanico Dr Tobias Lasser de la UCV
PR31,Adecuar los viveros para la reproduccion de plantas ornamentales exoticas peligro de exitincion y frutales y recoleccion de semillas del Instituto Experimental Jardin Botanico Dr Tobias Lasser de la Universidad Central de Venezuela
PR32,Adecuar el espacio para procesar abono organico su recoleccion y material para embolsar del Instituto Experimental Jardin Botanico Dr Tobias Lasser de la Universidad Central de Venezuela
